datetime,Appliances
2025-06-01 00:00:00,127
2025-06-01 01:00:00,117
2025-06-01 02:00:00,129
2025-06-01 03:00:00,142
2025-06-01 04:00:00,116
2025-06-01 05:00:00,116
2025-06-01 06:00:00,223
2025-06-01 07:00:00,211
2025-06-01 08:00:00,192
2025-06-01 09:00:00,128
2025-06-01 10:00:00,113
2025-06-01 11:00:00,113
2025-06-01 12:00:00,123
2025-06-01 13:00:00,91
2025-06-01 14:00:00,94
2025-06-01 15:00:00,111
2025-06-01 16:00:00,104
2025-06-01 17:00:00,124
2025-06-01 18:00:00,236
2025-06-01 19:00:00,228
2025-06-01 20:00:00,271
2025-06-01 21:00:00,246
2025-06-01 22:00:00,251
2025-06-01 23:00:00,228
2025-06-02 00:00:00,111
2025-06-02 01:00:00,121
2025-06-02 02:00:00,102
2025-06-02 03:00:00,125
2025-06-02 04:00:00,110
2025-06-02 05:00:00,115
2025-06-02 06:00:00,190
2025-06-02 07:00:00,227
2025-06-02 08:00:00,199
2025-06-02 09:00:00,104
2025-06-02 10:00:00,132
2025-06-02 11:00:00,101
2025-06-02 12:00:00,123
2025-06-02 13:00:00,90
2025-06-02 14:00:00,100
2025-06-02 15:00:00,122
2025-06-02 16:00:00,131
2025-06-02 17:00:00,122
2025-06-02 18:00:00,248
2025-06-02 19:00:00,245
2025-06-02 20:00:00,227
2025-06-02 21:00:00,239
2025-06-02 22:00:00,243
2025-06-02 23:00:00,265
2025-06-03 00:00:00,125
2025-06-03 01:00:00,93
2025-06-03 02:00:00,124
2025-06-03 03:00:00,114
2025-06-03 04:00:00,109
2025-06-03 05:00:00,129
2025-06-03 06:00:00,215
2025-06-03 07:00:00,213
2025-06-03 08:00:00,187
2025-06-03 09:00:00,115
2025-06-03 10:00:00,124
2025-06-03 11:00:00,134
2025-06-03 12:00:00,112
2025-06-03 13:00:00,117
2025-06-03 14:00:00,103
2025-06-03 15:00:00,102
2025-06-03 16:00:00,132
2025-06-03 17:00:00,140
2025-06-03 18:00:00,248
2025-06-03 19:00:00,265
2025-06-03 20:00:00,255
2025-06-03 21:00:00,240
2025-06-03 22:00:00,255
2025-06-03 23:00:00,273
2025-06-04 00:00:00,119
2025-06-04 01:00:00,143
2025-06-04 02:00:00,80
2025-06-04 03:00:00,132
2025-06-04 04:00:00,121
2025-06-04 05:00:00,115
2025-06-04 06:00:00,201
2025-06-04 07:00:00,170
2025-06-04 08:00:00,196
2025-06-04 09:00:00,125
2025-06-04 10:00:00,142
2025-06-04 11:00:00,112
2025-06-04 12:00:00,107
2025-06-04 13:00:00,112
2025-06-04 14:00:00,133
2025-06-04 15:00:00,124
2025-06-04 16:00:00,112
2025-06-04 17:00:00,127
2025-06-04 18:00:00,251
2025-06-04 19:00:00,264
2025-06-04 20:00:00,239
2025-06-04 21:00:00,245
2025-06-04 22:00:00,244
2025-06-04 23:00:00,228
2025-06-05 00:00:00,124
2025-06-05 01:00:00,123
2025-06-05 02:00:00,120
2025-06-05 03:00:00,116
2025-06-05 04:00:00,98
2025-06-05 05:00:00,113
2025-06-05 06:00:00,194
2025-06-05 07:00:00,187
2025-06-05 08:00:00,197
2025-06-05 09:00:00,126
2025-06-05 10:00:00,148
2025-06-05 11:00:00,122
2025-06-05 12:00:00,123
2025-06-05 13:00:00,118
2025-06-05 14:00:00,91
2025-06-05 15:00:00,119
2025-06-05 16:00:00,120
2025-06-05 17:00:00,156
2025-06-05 18:00:00,247
2025-06-05 19:00:00,254
2025-06-05 20:00:00,249
2025-06-05 21:00:00,232
2025-06-05 22:00:00,267
2025-06-05 23:00:00,261
2025-06-06 00:00:00,131
2025-06-06 01:00:00,106
2025-06-06 02:00:00,141
2025-06-06 03:00:00,98
2025-06-06 04:00:00,128
2025-06-06 05:00:00,152
2025-06-06 06:00:00,185
2025-06-06 07:00:00,191
2025-06-06 08:00:00,201
2025-06-06 09:00:00,112
2025-06-06 10:00:00,96
2025-06-06 11:00:00,121
2025-06-06 12:00:00,104
2025-06-06 13:00:00,127
2025-06-06 14:00:00,106
2025-06-06 15:00:00,143
2025-06-06 16:00:00,108
2025-06-06 17:00:00,115
2025-06-06 18:00:00,262
2025-06-06 19:00:00,231
2025-06-06 20:00:00,253
2025-06-06 21:00:00,269
2025-06-06 22:00:00,225
2025-06-06 23:00:00,252
2025-06-07 00:00:00,123
2025-06-07 01:00:00,131
2025-06-07 02:00:00,101
2025-06-07 03:00:00,100
2025-06-07 04:00:00,127
2025-06-07 05:00:00,124
2025-06-07 06:00:00,203
2025-06-07 07:00:00,205
2025-06-07 08:00:00,189
2025-06-07 09:00:00,123
2025-06-07 10:00:00,124
2025-06-07 11:00:00,109
2025-06-07 12:00:00,147
2025-06-07 13:00:00,127
2025-06-07 14:00:00,102
2025-06-07 15:00:00,129
2025-06-07 16:00:00,105
2025-06-07 17:00:00,131
2025-06-07 18:00:00,267
2025-06-07 19:00:00,237
2025-06-07 20:00:00,264
2025-06-07 21:00:00,256
2025-06-07 22:00:00,262
2025-06-07 23:00:00,278
